Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
11,US-2021-167199,06-01-2021,10-01-2021,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,1,0,3.0084
12,US-2021-130813,06-01-2021,08-01-2021,Second Class,LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19.44,3,0,9.3312
13,US-2021-167199,06-01-2021,10-01-2021,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,4,0,204.1092
14,US-2021-167199,06-01-2021,10-01-2021,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004977,Technology,Phones,GE 30524EE4,391.98,2,0,113.6742
15,US-2021-105417,07-01-2021,12-01-2021,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.728,3,0.6,-53.7096
16,US-2021-105417,07-01-2021,12-01-2021,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.43,7,0.8,-18.2525
17,US-2021-135405,09-01-2021,13-01-2021,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312,9.344,2,0.2,1.168
18,US-2021-135405,09-01-2021,13-01-2021,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.2,3,0.2,9.75
19,US-2021-149020,10-01-2021,15-01-2021,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1,0,21.2954
20,US-2021-149020,10-01-2021,15-01-2021,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,OFF-LA-10004272,Office Supplies,Labels,Avery 482,2.89,1,0,1.3583
21,US-2021-130092,11-01-2021,14-01-2021,First Class,SV-20365,Seth Vernon,Consumer,United States,Dover,Delaware,19901,East,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,2,0,3.0814
22,US-2021-157147,13-01-2021,18-01-2021,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",333.999,3,0.15,3.9294
23,US-2021-109232,13-01-2021,16-01-2021,Second Class,ND-18370,Natalie DeCherney,Consumer,United States,Mount Pleasant,South Carolina,29464,South,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.94,6,0,87.3504
24,US-2021-157147,13-01-2021,18-01-2021,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,19.9,5,0,6.567
25,US-2021-118192,13-01-2021,18-01-2021,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,3.438,2,0.7,-2.5212
26,US-2021-162775,13-01-2021,15-01-2021,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,5.64,3,0,2.7072
27,US-2021-162775,13-01-2021,15-01-2021,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,3,0,25.47
28,US-2021-162775,13-01-2021,15-01-2021,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,11.36,2,0,5.3392
29,US-2021-118192,13-01-2021,18-01-2021,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,OFF-PA-10002947,Office Supplies,Paper,Xerox 1923,37.408,7,0.2,13.0928
30,US-2021-162775,13-01-2021,15-01-2021,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6,0,34.3548
31,US-2021-157147,13-01-2021,18-01-2021,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,5,0,238.653
32,US-2021-162775,13-01-2021,15-01-2021,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,6,0,258.696
33,US-2021-149524,14-01-2021,15-01-2021,First Class,BS-11590,Brendan Sweed,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,4,0.5,-53.2856
34,US-2021-103366,15-01-2021,17-01-2021,First Class,EH-13990,Erica Hackney,Consumer,United States,Roswell,Georgia,30076,South,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,5,0,65.978
35,US-2021-115791,16-01-2021,18-01-2021,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.104,6,0.2,28.5984
36,US-2021-115791,16-01-2021,18-01-2021,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,18.588,2,0.7,-13.6312
37,US-2021-115791,16-01-2021,18-01-2021,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,30.072,3,0.2,10.1493
38,US-2021-115791,16-01-2021,18-01-2021,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone,124.2,3,0.4,-31.05
39,US-2021-123477,18-01-2021,21-01-2021,Second Class,DW-13195,David Wiener,Corporate,United States,Springfield,Oregon,97477,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.864,4,0.2,6.4864
40,US-2021-146591,19-01-2021,20-01-2021,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,5,0.7,-320.597
41,US-2021-146591,19-01-2021,20-01-2021,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,10,0.7,-23.716
42,US-2021-146591,19-01-2021,20-01-2021,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72,5,0.2,36.693
43,US-2021-146591,19-01-2021,20-01-2021,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.064,4,0.2,19.6224
44,US-2021-147627,20-01-2021,26-01-2021,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94,3,0,224.2674
45,US-2021-167927,20-01-2021,26-01-2021,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,14.73,3,0,4.8609
46,US-2021-167927,20-01-2021,26-01-2021,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,3,0,30.0234
47,US-2021-147627,20-01-2021,26-01-2021,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.6,4,0,11.58
48,US-2021-148614,20-01-2021,25-01-2021,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,2,0,5.79
49,US-2021-167927,20-01-2021,26-01-2021,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",247.716,4,0.1,93.5816
50,US-2021-147627,20-01-2021,26-01-2021,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10002375,Office Supplies,Art,Newell 351,22.96,7,0,6.6584
51,US-2021-147627,20-01-2021,26-01-2021,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10003811,Office Supplies,Art,Newell 327,6.63,3,0,1.7901
52,US-2021-167927,20-01-2021,26-01-2021,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92,3,0,12.7368
53,US-2021-167927,20-01-2021,26-01-2021,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-BI-10000605,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19.05,5,0,8.9535
54,US-2021-147774,20-01-2021,26-01-2021,Standard Class,MM-18280,Muhammed MacIntyre,Corporate,United States,Smyrna,Tennessee,37167,South,OFF-BI-10003091,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67.194,1,0.7,-51.5154
55,US-2021-167927,20-01-2021,26-01-2021,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,29.7,5,0,13.365
56,US-2021-147627,20-01-2021,26-01-2021,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-EN-10001539,Office Supplies,Envelopes,Staple envelope,23.34,3,0,10.9698
57,US-2021-148614,20-01-2021,25-01-2021,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",19.36,2,0,9.2928
58,US-2021-167927,20-01-2021,26-01-2021,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,13.98,1,0,4.0542
59,US-2021-167927,20-01-2021,26-01-2021,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58,2,0,15.9792
60,US-2021-147627,20-01-2021,26-01-2021,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,TEC-PH-10001061,Technology,Phones,Apple iPhone 5C,699.93,7,0,181.9818
61,US-2021-110422,21-01-2021,23-01-2021,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Miami,Florida,33180,South,FUR-FU-10001889,Furniture,Furnishings,Ultra Door Pull Handle,25.248,3,0.2,4.1028
62,CA-2021-115238,21-01-2021,24-01-2021,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10001025,Furniture,Furnishings,"Eldon Imàge Series Desk Accessories, Clear",24.3,5,0,10.45
63,CA-2021-115238,21-01-2021,24-01-2021,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002445,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",9.48,1,0,3.79
64,CA-2021-115238,21-01-2021,24-01-2021,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",31.4,5,0,13.19
65,CA-2021-115238,21-01-2021,24-01-2021,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,OFF-PA-10002689,Office Supplies,Paper,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),6.48,1,0,3.11
